ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
9528,593,25-29,Man,India,Yes,No,3-5 years,2-3 years, PyTorch Hub ,,,,,,,,,
9529,391,22-24,Man,China,Yes,No,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9530,236,55-59,Man,United States of America,No,,3-5 years,1-2 years,,Currently not employed,,,,,,,,
9531,901,25-29,Man,India,No,No,1-3 years,2-3 years,,Software Engineer,Computers/Technology,"10,000 or more employees",15-19,We use ML methods for generating insights (but do not put working models into production),"2,000-2,999",$100-$999, Microsoft Azure ,Once
9532,572,40-44,Woman,Turkey,No,,3-5 years,2-3 years,,Other,Government/Public Service,"1000-9,999 employees",0,No (we do not use ML methods),"4,000-4,999",$0 ($USD),,
9533,488,22-24,Man,Other,No,No,< 1 years,Under 1 year, Kaggle datasets ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,,,,,,,
9534,733,40-44,Woman,Poland,No,Yes,< 1 years,1-2 years,,Statistician,Marketing/CRM,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,,Once
9535,426,50-54,Man,Argentina,No,,20+ years,4-5 years,,Software Engineer,Accounting/Finance,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",$0 ($USD),,
9536,401,22-24,Man,India,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
9537,248,22-24,Man,Pakistan,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
9538,268,30-34,Woman,Portugal,No,Yes,I have never written code,,,Other,Academics/Education,0-49 employees,0,No (we do not use ML methods),"7,500-9,999",$0 ($USD),,
9539,136,45-49,Man,United States of America,No,No,10-20 years,,,,,,,,,,,
9540,193,18-21,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
9541,407,22-24,Woman,Philippines,No,No,1-3 years,1-2 years,  TensorFlow Hub ,Data Scientist,Marketing/CRM,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$1-$99,,2-5 times
9542,267,18-21,Man,India,No,,1-3 years,1-2 years,,Currently not employed,,,,,,,,
9543,1270,40-44,Woman,Morocco,No,,3-5 years,Under 1 year,,Data Engineer,Non-profit/Service,0-49 employees,0,I do not know,"100,000-124,999",$0 ($USD),,
9544,782,40-44,Man,Other,No,Yes,5-10 years,3-4 years,,Data Scientist,Computers/Technology,50-249 employees,3-4,,,,,
9545,568,25-29,Man,Viet Nam,No,No,< 1 years,Under 1 year, Kaggle datasets ,Engineer (non-software),Accounting/Finance,250-999 employees,1-2,No (we do not use ML methods),$0-999,$1-$99, Microsoft Azure ,2-5 times
9546,390,22-24,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
9547,366,30-34,Man,India,Yes,No,5-10 years,4-5 years,,,,,,,,,,
9548,443,25-29,Man,India,No,,< 1 years,Under 1 year,,,,,,,,,,
9549,829,40-44,Man,Other,No,No,20+ years,4-5 years, Huggingface Models ,Research Scientist,Accounting/Finance,50-249 employees,5-9,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",$100-$999,,Never
9550,1008,30-34,Man,United States of America,No,,< 1 years,Under 1 year,Other storage services (i.e. google drive),Other,Computers/Technology,250-999 employees,5-9,I do not know,"40,000-49,999",$100-$999, Google Cloud Platform (GCP) ,Never
9551,212,25-29,Man,United States of America,Yes,Yes,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9552,1068,40-44,Man,India,No,No,3-5 years,3-4 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,"1000-9,999 employees",3-4,No (we do not use ML methods),"10,000-14,999",$100-$999,,6-25 times
9553,122,55-59,Man,India,No,,20+ years,,,,,,,,,,,
9554,490,18-21,Woman,Nigeria,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9555,175,22-24,Man,Indonesia,Yes,,I have never written code,,,,,,,,,,,
9556,241,35-39,Woman,United States of America,No,,< 1 years,Under 1 year,,,,,,,,,,
9557,187,22-24,Man,United States of America,Yes,Yes,3-5 years,2-3 years,,,,,,,,,,
9558,309,40-44,Man,India,No,No,I have never written code,,,Teacher / professor,Academics/Education,0-49 employees,1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
9559,251,35-39,Woman,India,No,,I have never written code,,,Currently not employed,,,,,,,,
9560,6358,40-44,Man,United States of America,No,No,20+ years,5-10 years,,Machine Learning/ MLops Engineer,Insurance/Risk Assessment,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","250,000-299,999","$100,000 or more ($USD)",,Never
9561,160490,25-29,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
9562,1262,40-44,Man,India,Yes,Yes,3-5 years,4-5 years,,,,,,,,,,
9563,367,35-39,Man,Other,No,Yes,5-10 years,2-3 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,10-14,We are exploring ML methods (and may one day put a model into production),,$0 ($USD),,
9564,179,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9565,258,60-69,Man,Ireland,No,,< 1 years,I do not use machine learning methods,,Engineer (non-software),Manufacturing/Fabrication,"1000-9,999 employees",15-19,I do not know,"60,000-69,999",$0 ($USD),,
9566,146,30-34,Man,Turkey,No,Yes,3-5 years,,,,,,,,,,,
9567,236,22-24,Man,Nigeria,Yes,,1-3 years,1-2 years,,,,,,,,,,
9568,389,22-24,Man,Russia,Yes,,3-5 years,Under 1 year,,,,,,,,,,
9569,1821,40-44,Man,Nigeria,No,,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),,$0 ($USD),,
9570,429,25-29,Man,Turkey,No,No,5-10 years,3-4 years,,Software Engineer,Computers/Technology,0-49 employees,0,No (we do not use ML methods),,$0 ($USD),,
9571,6159,18-21,Man,India,Yes,,< 1 years,1-2 years,,,,,,,,,,
9572,793,45-49,Man,South Korea,No,,5-10 years,1-2 years,,Research Scientist,Government/Public Service,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",$100-$999,,Never
9573,462,35-39,Man,Taiwan,No,,3-5 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,250-999 employees,3-4,No (we do not use ML methods),"3,000-3,999",$0 ($USD),,
9574,920,55-59,Man,Mexico,Yes,No,20+ years,2-3 years,,,,,,,,,,
9575,302,25-29,Man,Nigeria,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9576,170,18-21,Man,India,Yes,,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9577,532,25-29,Woman,China,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
9578,7644,25-29,Man,Bangladesh,Yes,Yes,5-10 years,,,,,,,,,,,
9579,763,40-44,Man,Taiwan,No,Yes,5-10 years,4-5 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$0 ($USD),,
9580,650,45-49,Man,United States of America,No,,20+ years,10-20 years,,Data Scientist,Shipping/Transportation,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999","$10,000-$99,999", Google Cloud Platform (GCP) ,6-25 times
9581,1072,30-34,Man,Algeria,Yes,Yes,1-3 years,1-2 years, Timm ,,,,,,,,,
9582,739,25-29,Man,India,No,No,< 1 years,Under 1 year,,Data Scientist,Broadcasting/Communications,250-999 employees,0,I do not know,$0-999,$100-$999,,Never
9583,287,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9584,184,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9585,456,22-24,Man,India,No,,< 1 years,Under 1 year,,Software Engineer,Computers/Technology,"10,000 or more employees",3-4,I do not know,"5,000-7,499",$0 ($USD),,
9586,353,30-34,Man,Nigeria,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
9587,164,35-39,Man,Ukraine,No,,,,,,,,,,,,,
9588,2018,18-21,Man,India,Yes,,1-3 years,,,,,,,,,,,
9589,1577,25-29,Woman,Pakistan,No,No,I have never written code,,,Currently not employed,,,,,,,,
9590,185,22-24,Man,Kenya,Yes,,I have never written code,,,,,,,,,,,
9591,488,18-21,Man,Other,Yes,,1-3 years,1-2 years,,,,,,,,,,
9592,929,40-44,Woman,United States of America,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
9593,1290,35-39,Woman,United States of America,No,No,1-3 years,2-3 years,,Currently not employed,,,,,,,,
9594,232,45-49,Nonbinary,Other,Yes,Yes,< 1 years,4-5 years, ONNX models ,,,,,,,,,
9595,1727,18-21,Man,Egypt,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
9596,2474,30-34,Man,India,No,,< 1 years,Under 1 year,,Teacher / professor,Academics/Education,50-249 employees,0,No (we do not use ML methods),"1,000-1,999",$100-$999,,Never
9597,88233,30-34,Woman,Egypt,No,Yes,10-20 years,,,,,,,,,,,
9598,969,22-24,Man,India,No,,1-3 years,Under 1 year, Kaggle datasets ,Currently not employed,,,,,,,,
9599,236,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9600,714,30-34,Man,India,No,Yes,I have never written code,,,Research Scientist,Academics/Education,250-999 employees,0,No (we do not use ML methods),"25,000-29,999",$0 ($USD),,
9601,1634,50-54,Man,Brazil,No,,20+ years,4-5 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"10,000 or more employees",0,I do not know,"2,000-2,999","$1000-$9,999",,Never
9602,271,18-21,Man,Russia,No,,3-5 years,Under 1 year,,Currently not employed,,,,,,,,
9603,725,22-24,Woman,Bangladesh,Yes,No,1-3 years,1-2 years,,,,,,,,,,
9604,186,22-24,Woman,China,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
9605,187,22-24,Man,Brazil,Yes,Yes,< 1 years,I do not use machine learning methods,,,,,,,,,,
9606,631,40-44,Man,India,No,No,1-3 years,1-2 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Accounting/Finance,"10,000 or more employees",0,We are exploring ML methods (and may one day put a model into production),"40,000-49,999","$1000-$9,999",,2-5 times
9607,470,25-29,Man,India,No,No,1-3 years,Under 1 year, Kaggle datasets ,Software Engineer,Computers/Technology,"10,000 or more employees",0,,,,,
9608,240,18-21,Man,India,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
9609,553,25-29,Man,Mexico,Yes,No,1-3 years,2-3 years,,,,,,,,,,
9610,160,18-21,Man,India,Yes,,I have never written code,,,,,,,,,,,
9611,178,50-54,Man,United States of America,No,No,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
9612,131,30-34,Man,India,Yes,No,I have never written code,,,,,,,,,,,
9613,218,30-34,Man,India,No,No,5-10 years,2-3 years,,Data Scientist,Accounting/Finance,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)",,,,
9614,78920,22-24,Man,India,No,No,< 1 years,Under 1 year,,Data Engineer,Computers/Technology,250-999 employees,3-4,I do not know,"40,000-49,999","$1000-$9,999",,2-5 times
9615,419,50-54,Man,France,No,No,1-3 years,1-2 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Government/Public Service,250-999 employees,20+,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",$1-$99,,Never
9616,11274,22-24,Woman,Morocco,Yes,No,3-5 years,,,,,,,,,,,
9617,909,30-34,Man,India,No,No,5-10 years,I do not use machine learning methods,,Software Engineer,Computers/Technology,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$1-$99,,
9618,646,30-34,Man,Nigeria,No,,3-5 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"1000-9,999 employees",20+,No (we do not use ML methods),"3,000-3,999",$0 ($USD),,
9619,356,22-24,Man,India,Yes,,1-3 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
9620,338,40-44,Man,United States of America,No,,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0-49 employees,1-2,We use ML methods for generating insights (but do not put working models into production),,,,
9621,194,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
9622,819,25-29,Man,India,No,No,< 1 years,Under 1 year, Kaggle datasets ,Machine Learning/ MLops Engineer,Manufacturing/Fabrication,0-49 employees,1-2,No (we do not use ML methods),"1,000-1,999",$1-$99,,2-5 times
9623,212,18-21,Woman,India,Yes,No,I have never written code,,,,,,,,,,,
9624,851,50-54,Woman,Argentina,No,Yes,10-20 years,1-2 years,,Data Scientist,Online Service/Internet-based Services,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$100-$999,,Once
9625,601,45-49,Woman,United States of America,No,Yes,10-20 years,10-20 years,,Research Scientist,Academics/Education,"1000-9,999 employees",20+,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999","$1000-$9,999",,Never
9626,1127712,45-49,Man,Argentina,No,Yes,20+ years,10-20 years,,Teacher / professor,Academics/Education,"1000-9,999 employees",5-9,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",$1-$99,,Never
9627,256,35-39,Woman,Turkey,Yes,No,I have never written code,,,,,,,,,,,
9628,219,18-21,Man,India,Yes,,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
9629,261,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9630,1071,55-59,Man,Other,No,,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,,Once
9631,367,22-24,Man,Romania,No,,3-5 years,1-2 years,,Data Scientist,Broadcasting/Communications,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$0 ($USD),,
9632,729,30-34,Prefer not to say,India,No,No,5-10 years,5-10 years, PyTorch Hub ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",,"$10,000-$99,999", Amazon Web Services (AWS) ,Once
9633,666,30-34,Man,United Arab Emirates,No,No,5-10 years,5-10 years, Timm ,Data Scientist,Computers/Technology,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",$100-$999,,2-5 times
9634,1950,30-34,Prefer to self-describe,Spain,No,,3-5 years,Under 1 year,,Data Engineer,Broadcasting/Communications,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$100-$999, Amazon Web Services (AWS) ,Once
9635,845,55-59,Man,India,No,,I have never written code,,,Engineer (non-software),Government/Public Service,0-49 employees,1-2,No (we do not use ML methods),"20,000-24,999","$1000-$9,999",,
9636,696,60-69,Man,India,No,,20+ years,5-10 years,,Currently not employed,,,,,,,,
9637,318,35-39,Man,India,No,No,I have never written code,,,"Manager (Program, Project, Operations, Executive-level, etc)",Medical/Pharmaceutical,0-49 employees,0,I do not know,"7,500-9,999",$0 ($USD),,
9638,135,25-29,Man,Other,Yes,,,,,,,,,,,,,
9639,395,22-24,Woman,India,Yes,No,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
9640,176,18-21,Woman,India,Yes,,1-3 years,,,,,,,,,,,
9641,236,18-21,Woman,Philippines,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9642,589,40-44,Man,Spain,No,Yes,10-20 years,2-3 years,,Research Scientist,Other,0-49 employees,10-14,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","$1000-$9,999", Google Cloud Platform (GCP) ,More than 25 times
9643,740,22-24,Woman,China,Yes,No,3-5 years,2-3 years,,,,,,,,,,
9644,876,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9645,534,30-34,Man,Taiwan,Yes,No,< 1 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
9646,581,22-24,Man,India,No,,I have never written code,,,Other,Accounting/Finance,"10,000 or more employees",0,No (we do not use ML methods),$0-999,$0 ($USD),,
9647,360,18-21,Man,United Kingdom of Great Britain and Northern Ireland,No,,< 1 years,I do not use machine learning methods,,Other,Other,50-249 employees,0,No (we do not use ML methods),"20,000-24,999",$0 ($USD),,
9648,151,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9649,522,35-39,Man,Bangladesh,No,Yes,1-3 years,1-2 years,,Data Scientist,Manufacturing/Fabrication,250-999 employees,3-4,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$0 ($USD),,
9650,245,25-29,Man,Russia,No,Yes,1-3 years,2-3 years, Kaggle datasets ,Data Scientist,Computers/Technology,"1000-9,999 employees",5-9,,,,,
9651,253,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9652,257,18-21,Man,Ukraine,Yes,,3-5 years,1-2 years,,,,,,,,,,
9653,962,50-54,Man,India,Yes,,10-20 years,1-2 years,,,,,,,,,,
9654,483,25-29,Woman,"Iran, Islamic Republic of...",No,No,3-5 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
9655,422,22-24,Man,India,No,,< 1 years,Under 1 year,,Data Scientist,Retail/Sales,250-999 employees,1-2,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$100-$999,,
9656,1948,22-24,Man,India,Yes,Yes,3-5 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9657,180,25-29,Man,Brazil,Yes,No,3-5 years,I do not use machine learning methods,,,,,,,,,,
9658,234,40-44,Woman,United States of America,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
9659,808,25-29,Man,India,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
9660,445,70+,Man,United States of America,No,No,20+ years,5-10 years,,Statistician,Broadcasting/Communications,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",$0 ($USD),,
9661,136,18-21,Man,Egypt,Yes,,I have never written code,,,,,,,,,,,
9662,405,22-24,Man,India,Yes,,3-5 years,Under 1 year,,,,,,,,,,
9663,234,22-24,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
